Geneid	wt_R1	wt_R2	mu_R1	mu_R2
FGRRES_12584	0	0	2	1
FGRRES_04707	0	0	0	0
FGRRES_04708	74	93	4	8
FGRRES_04709	7	8	4	5
FGRRES_04710	497	559	126	114
FGRRES_12585	11	10	2	0
FGRRES_12586	940	865	950	825
FGRRES_20227	0	0	0	0
FGRRES_04712	0	0	0	0
FGRRES_12587	0	0	0	0
FGRRES_12588	6	6	9	15
FGRRES_17628_M	42	36	28	19
FGRRES_04714_M	8	7	5	7
FGRRES_12590	0	1	0	0
FGRRES_12591	3	1	0	3
FGRRES_16405	7	2	4	7
FGRRES_04717	1	0	0	1
FGRRES_12594	1	0	0	0
FGRRES_12595_M	66	54	30	24
FGRRES_04719	0	0	0	0
FGRRES_04720	21	15	10	7
FGRRES_12596	16	9	8	4
FGRRES_12597	11	6	5	5
FGRRES_04722	0	0	0	0
FGRRES_04723	2	1	1	0
FGRRES_12598	3	0	0	0
FGRRES_12599	3	2	1	1
FGRRES_16406	4	5	6	0
FGRRES_04726	5	6	2	1
FGRRES_04727	26	14	10	11
FGRRES_04728	27	51	88	87
FGRRES_04729_M	18	21	19	13
FGRRES_20228	0	0	0	0
FGRRES_04731	2	2	3	1
FGRRES_04732	4	6	5	7
FGRRES_04733	16	14	2	4
FGRRES_04734	13	22	7	7
FGRRES_04735	3575	3520	6106	5235
FGRRES_04736	42	58	24	27
FGRRES_12600	641	532	76	86
FGRRES_16407	354	284	116	110
FGRRES_04738	6	3	3	4
FGRRES_04739	4	4	2	6
FGRRES_15123	0	0	0	0
FGRRES_04740	2	3	2	0
FGRRES_04741	35	42	17	9
FGRRES_04742_M	4	4	0	0
FGRRES_04743	57	26	37	43
FGRRES_04744	29	34	31	46
FGRRES_04745	14	23	14	15
FGRRES_04746	0	0	3	0
FGRRES_04747	163	149	34	32
FGRRES_04748	3	4	2	7
FGRRES_04749	0	2	0	0
FGRRES_04750	0	0	4	0
FGRRES_12602	16	9	12	5
FGRRES_16408	0	0	0	0
FGRRES_04752_M	0	0	0	0
FGRRES_20229	0	0	0	0
FGRRES_04753_M	0	0	0	0
FGRRES_04754_M	2	2	3	5
FGRRES_04755	116	120	42	32
FGRRES_04756_M	7	7	0	0
FGRRES_04757	169	181	42	33
FGRRES_04758	6	3	19	15
FGRRES_12604	37	29	31	24
FGRRES_16409	692	729	547	442
FGRRES_04760_M	290	217	79	63
FGRRES_04761_M	365	300	16	18
FGRRES_12606_M	114	99	1854	1570
FGRRES_12607	4816	3359	54395	43380
FGRRES_04763	248	175	296	232
FGRRES_16410	76	62	36	21
FGRRES_04765	19	39	20	17
FGRRES_04766	4	5	7	4
FGRRES_04767	71	55	17	12
FGRRES_20230	1	0	0	0
FGRRES_04768	253	208	72	47
FGRRES_16411	72	59	32	12
FGRRES_16412	461	377	222	207
FGRRES_12608	275	220	69	76
FGRRES_12609	172	160	137	109
FGRRES_16413	730	707	182	136
FGRRES_04773	26	12	12	6
FGRRES_04774	0	3	2	0
FGRRES_04775	1	0	1	3
FGRRES_04776	1	1	2	0
FGRRES_04777	9	5	0	0
FGRRES_16414	47	36	7	6
FGRRES_16415	4	1	0	0
FGRRES_04780	7	4	5	5
FGRRES_04781	11	5	0	0
FGRRES_04782	8	7	5	3
FGRRES_04783	21	24	4	3
FGRRES_04784	3	1	2	1
FGRRES_04785	27	16	5	5
FGRRES_04786	4	3	1	1
FGRRES_04787	0	0	0	0
FGRRES_20231	0	0	11	6
FGRRES_04788	2	0	18	22
FGRRES_12611	1	2	0	1
FGRRES_04789_90_M	8	3	1	2
FGRRES_12612_3_M	7	2	0	0
FGRRES_04792	0	0	0	0
FGRRES_04793	81	78	49	43
FGRRES_04794	47	33	22	28
FGRRES_04795	15	6	15	7
FGRRES_04796	10	14	18	13
FGRRES_04797	23	21	51	45
FGRRES_04798	29	27	82	75
FGRRES_04799	8	11	5	14
FGRRES_12614	31	22	7	8
FGRRES_04800	0	1	5	4
FGRRES_04801	3	0	3	0
FGRRES_04802	21	22	14	13
FGRRES_04803	23	20	30	27
FGRRES_04804	0	3	1	0
FGRRES_12615	5	6	4	4
FGRRES_04805	673	594	1993	1703
FGRRES_04806_M	3	2	3	0
FGRRES_12616	1	1	0	2
FGRRES_16416	1	2	1	0
FGRRES_16417	953	799	391	373
FGRRES_16418	155	139	115	98
FGRRES_04810	155	157	44	53
FGRRES_15259	1920	1868	652	463
FGRRES_04811	53	70	19	12
FGRRES_12619	29	9	23	20
FGRRES_20232	3	9	1	0
FGRRES_04813	571	545	177	170
FGRRES_04814	89	89	34	34
FGRRES_16419	16	7	2	0
FGRRES_04816	8	6	7	4
FGRRES_04817	0	0	0	0
FGRRES_04818	0	0	1	0
FGRRES_04819	12	7	4	8
FGRRES_16420	117	84	18	22
FGRRES_16421	8	7	2	4
FGRRES_16422	17	12	5	6
FGRRES_04823_M	83	66	78	65
FGRRES_04824	3	10	6	4
FGRRES_16423	155	114	72	65
FGRRES_04826	5895	6206	4553	3734
FGRRES_04827	389	390	449	367
FGRRES_04828	44	41	299	261
FGRRES_04829	306	288	1009	844
FGRRES_16424	93	63	39	28
FGRRES_12622	14	10	20	9
FGRRES_12623_M	1107	974	628	587
FGRRES_04832	2	0	1	2
FGRRES_12624	2	0	5	0
FGRRES_20233	0	0	0	0
FGRRES_12625	3	1	0	0
FGRRES_16425	0	0	1	2
FGRRES_16426	35	34	9	12
FGRRES_20234	9	12	4	4
FGRRES_04836	1	0	5	1
FGRRES_04837	23	22	94	77
FGRRES_12628	0	0	0	0
FGRRES_12629	0	0	0	0
FGRRES_12630	1	4	15	7
FGRRES_16427	16	12	29	21
FGRRES_12631	8	9	14	15
FGRRES_20235	0	0	0	1
FGRRES_20236	4	2	1	2
FGRRES_12632	12	4	2	1
FGRRES_04840	73	77	53	51
FGRRES_04841	46	63	39	30
FGRRES_04842_M	26	9	11	9
FGRRES_16428	0	2	0	1
FGRRES_12633_4_M	9	0	3	1
FGRRES_12635	23	25	12	6
FGRRES_04845	25	19	17	21
FGRRES_16429	14	5	11	7
FGRRES_16430	30	23	13	18
FGRRES_04848	2	3	0	0
FGRRES_16431_M	0	1	1	0
FGRRES_04850	26937	22961	37634	30402
FGRRES_12639_M	0	0	0	0
FGRRES_20237	0	1	0	0
FGRRES_12640_M	0	2	0	0
FGRRES_12641	66	62	30	18
FGRRES_12642	3	0	11	3
FGRRES_16432	171	165	113	90
FGRRES_04853	592	568	1178	1171
FGRRES_16433_M	0	2	3	1
FGRRES_04855	0	1	0	0
FGRRES_04856	0	0	1	0
FGRRES_16434	23	25	24	27
FGRRES_20238	59	31	48	48
FGRRES_20239	107	75	76	89
FGRRES_12644	3	3	1	1
FGRRES_04858	2	1	4	5
FGRRES_16435	36	27	120	96
FGRRES_16436	2	4	5	4
FGRRES_04861	29	31	46	21
FGRRES_04862	14	13	6	4
FGRRES_04863	0	2	1	0
FGRRES_04864	3	4	3	1
FGRRES_16437	0	0	0	0
FGRRES_04866	2	0	0	0
FGRRES_15261	0	0	0	0
FGRRES_04867	5	3	6	7
FGRRES_16438	0	1	0	0
FGRRES_04869	4	4	12	7
FGRRES_04870	45	35	12	12
FGRRES_04871	72	48	20	16
FGRRES_04872	96	85	66	58
FGRRES_04873	70	82	90	66
FGRRES_04874	68	80	80	75
FGRRES_04875	14	11	8	4
FGRRES_04876	1033	1232	575	561
FGRRES_12645_6_M	50	27	54	51
FGRRES_04878	1	2	0	0
FGRRES_04879	190	211	159	148
FGRRES_12647	11	11	15	14
FGRRES_12648_M	87	66	29	26
FGRRES_04881_M	2611	2244	2390	2046
FGRRES_16439	1951	1696	3461	3137
FGRRES_04883	560	524	510	510
FGRRES_04884_M	440	424	204	152
FGRRES_16440	386	361	198	221
FGRRES_04886	1016	1102	624	568
FGRRES_04887	1839	1565	1475	1326
FGRRES_04888_M	12174	11992	7174	6808
FGRRES_04889	737	890	492	418
FGRRES_04890	1091	1111	754	636
FGRRES_04891	895	834	371	320
FGRRES_15262	2	0	1	0
FGRRES_04892	239	237	94	95
FGRRES_12649	1	3	2	3
FGRRES_12651	55	64	65	56
FGRRES_04894	302	270	114	116
FGRRES_04895	5	2	0	1
FGRRES_04896_M	0	1	3	0
FGRRES_04897_M	1	2	3	0
FGRRES_04898	22	29	8	14
FGRRES_04899	30	17	31	19
FGRRES_04900	91	65	21	12
FGRRES_04901	145	129	78	60
FGRRES_04902	612	676	524	486
FGRRES_16442	1598	1438	618	484
FGRRES_16443	378	308	439	446
FGRRES_04905	1670	1451	1184	1207
FGRRES_04906	867	929	719	739
FGRRES_04907	1035	984	510	449
FGRRES_04908	3937	3718	5012	4774
FGRRES_04909	311	302	482	430
FGRRES_04910	1904	1672	2098	2037
FGRRES_04911	2748	2914	5794	5667
FGRRES_04912	2	1	8	5
FGRRES_04913	647	728	1820	1753
FGRRES_04914	257	240	114	82
FGRRES_04915	5522	5395	2769	2308
FGRRES_12652	81	57	116	90
FGRRES_04916	3862	3871	9394	9233
FGRRES_04917	113	127	145	119
FGRRES_12653	2	1	0	0
FGRRES_04918	22	44	22	13
FGRRES_04919	263	262	140	172
FGRRES_20240	30	41	42	41
FGRRES_04920	341	298	264	214
FGRRES_04921	15	11	1	4
FGRRES_04922_M	747	795	718	599
FGRRES_04923	101	124	318	269
FGRRES_04924	2	0	0	0
FGRRES_04925	2	0	2	0
FGRRES_17269_M	173	177	182	139
FGRRES_04927	274	281	427	288
FGRRES_04928	163	176	91	66
FGRRES_04929	697	641	233	183
FGRRES_04930	34	33	238	212
FGRRES_04931	22	41	22	21
FGRRES_04932	30	37	104	86
FGRRES_04933	11896	11950	12802	10870
FGRRES_16444_M	321	332	326	336
FGRRES_16445	23	21	10	4
FGRRES_04935	184	172	105	87
FGRRES_20241	12	8	14	7
FGRRES_04936	100	107	85	70
FGRRES_04937	44	33	50	31
FGRRES_04938	15	5	380	373
FGRRES_04939	96	85	71	71
FGRRES_04940	219	199	138	122
FGRRES_04941	60	46	36	30
FGRRES_04942	0	2	0	1
FGRRES_04943	30	19	30	29
FGRRES_04944	394	366	220	145
FGRRES_04945	1016	932	686	615
FGRRES_04946	956	868	1206	1022
FGRRES_04947	201	179	102	95
FGRRES_20242	1947	1705	1500	1113
FGRRES_04948	1727	1524	909	809
FGRRES_04949_M	6578	5955	3883	3195
FGRRES_17630	2949	2324	4625	3610
FGRRES_04951	863	967	1252	1230
FGRRES_15264	181	153	123	133
FGRRES_04952	336	346	172	175
FGRRES_04953	1752	2021	1650	1437
FGRRES_04954	14	6	7	4
FGRRES_04955	0	0	0	0
FGRRES_15265	8	1	5	9
FGRRES_04956	2403	2005	1963	1600
FGRRES_15266	400	320	666	602
FGRRES_15267	161	125	72	45
FGRRES_04957_M	19	24	5	5
FGRRES_17631	31	40	17	9
FGRRES_04959	27	27	23	35
FGRRES_15268	3	4	3	4
FGRRES_12654_M	971	973	339	292
FGRRES_04960	153	135	161	117
FGRRES_15269	42	38	15	16
FGRRES_04961	30	23	37	28
FGRRES_15270	7	3	8	2
FGRRES_04962	10	4	7	8
FGRRES_12655	3	6	18	12
FGRRES_04963	191	131	130	113
FGRRES_04964	208	166	162	141
FGRRES_12656	292	256	293	202
FGRRES_12657	2632	2452	615	533
FGRRES_04966	73	69	50	50
FGRRES_12658	60	60	51	51
FGRRES_04967	28	17	18	6
FGRRES_04968	279	284	110	145
FGRRES_04969	377	405	245	169
FGRRES_04970	104	106	92	75
FGRRES_04971	12	14	12	15
FGRRES_04972_M	48	45	28	16
FGRRES_04973	230	228	118	108
FGRRES_16446_M	518	531	267	262
FGRRES_07162_M	5087	4333	2632	2049
FGRRES_04976	103	94	64	59
FGRRES_04977_M	75	67	38	29
FGRRES_12659_M	365	326	60	38
FGRRES_12660	181	120	76	48
FGRRES_04979	2164	2387	479	407
FGRRES_04980	1286	1190	828	692
FGRRES_04981	1195	983	780	580
FGRRES_04982	812	807	637	537
FGRRES_04983	4899	4710	3421	2942
FGRRES_12661	4	3	4	4
FGRRES_15271	0	0	0	0
FGRRES_16447	2993	2705	3705	3454
FGRRES_04985	1633	1579	1358	1273
FGRRES_04986	237	209	186	107
FGRRES_17632_A_M	155	142	105	90
FGRRES_17632_B_M	59	43	36	23
FGRRES_04988	129	97	49	51
FGRRES_12664	59	36	45	59
FGRRES_12665	102	85	23	9
FGRRES_17633	385	330	186	155
FGRRES_17634	510	447	91	97
FGRRES_17635	627	530	336	246
FGRRES_04993	7	13	4	2
FGRRES_17636	612	573	391	291
FGRRES_17637	5190	5425	2933	2891
FGRRES_04996	559	651	312	242
FGRRES_04997	485	541	577	483
FGRRES_04998	2633	2488	1788	1539
FGRRES_04999	399	337	433	456
FGRRES_17638	153	152	234	210
FGRRES_05001_M	2397	2161	2867	2500
FGRRES_05002	638	536	182	160
FGRRES_15272	3	3	8	2
FGRRES_12666_M	64986	37224	16703	11581
FGRRES_15273	43	41	16	13
FGRRES_15274	7	6	12	6
FGRRES_05003	912	1011	562	486
FGRRES_05004	527	459	387	301
FGRRES_12667	705	590	302	194
FGRRES_20243	4	2	3	0
FGRRES_05005	7	5	2	9
FGRRES_20244	1	5	6	1
FGRRES_05006	222	196	63	38
FGRRES_05007	568	465	327	225
FGRRES_05008	3151	2944	10847	9857
FGRRES_05009	818	890	890	768
FGRRES_05010_M	35	23	22	8
FGRRES_05011	52	53	73	53
FGRRES_05012	987	1182	549	514
FGRRES_05013	1000	913	780	603
FGRRES_17639_M	5967	5080	5473	4882
FGRRES_05014	77	107	39	28
FGRRES_05015	512	459	199	178
FGRRES_05016	1777	1515	374	281
FGRRES_05017	13	5	4	1
FGRRES_16448	14	8	6	5
FGRRES_05019	1060	706	779	544
FGRRES_05020	161	163	120	100
FGRRES_05021	25	20	19	25
FGRRES_05022	759	650	487	396
FGRRES_05023	1709	1847	1368	1238
FGRRES_15275	0	0	1	0
FGRRES_05024	892	875	2346	2409
FGRRES_16449	1234	1061	574	481
FGRRES_05026	4869	4660	4495	4276
FGRRES_05027_M	332	295	203	136
FGRRES_05028	61	58	20	6
FGRRES_05029	590	601	424	359
FGRRES_16450	94	77	33	26
FGRRES_05031	245	257	1236	1193
FGRRES_20245	6	8	25	25
FGRRES_17640	624	714	353	316
FGRRES_12669	90	88	69	66
FGRRES_17641	84	63	63	42
FGRRES_05034	115	94	69	72
FGRRES_05035	1668	1853	863	641
FGRRES_05036	331	309	280	238
FGRRES_05037	883	867	2934	2385
FGRRES_20246	487	288	212	132
FGRRES_05038	329	324	211	136
FGRRES_05039	329	297	644	693
FGRRES_05040	134	127	349	366
FGRRES_20247	179	130	202	193
FGRRES_05041	8	14	0	8
FGRRES_05042	4865	4956	4052	3641
FGRRES_17642	3	6	52	57
FGRRES_05044	1408	1269	1077	899
FGRRES_05045	372	392	266	246
FGRRES_05046	15	13	7	13
FGRRES_05047	259	241	138	131
FGRRES_05048	370	439	277	234
FGRRES_05049	508	513	130	107
FGRRES_05050	376	438	234	223
FGRRES_12671	17	16	14	3
FGRRES_12672	111	80	50	32
FGRRES_05052	198	211	110	105
FGRRES_05053	162	149	107	64
FGRRES_05054	595	514	302	246
FGRRES_05055	392	374	349	294
FGRRES_05056	52	40	44	46
FGRRES_15276	1	4	5	4
FGRRES_05057	925	683	967	938
FGRRES_05058	9	2	13	11
FGRRES_05059	43	43	11	12
FGRRES_05060	665	578	561	553
FGRRES_12673	36	31	29	16
FGRRES_05061	55090	53442	17396	14887
FGRRES_05062	95	78	70	44
FGRRES_05063	12	12	6	4
FGRRES_05064	3422	3864	2241	2224
FGRRES_15277	5	11	5	0
FGRRES_05065	2039	2246	1187	1088
FGRRES_17643	974	922	521	476
FGRRES_17644	84	72	36	35
FGRRES_12674_M	26	18	22	13
FGRRES_17645	354	367	269	224
FGRRES_12675	3	6	4	7
FGRRES_16451	1086	1028	3113	2726
FGRRES_12678	1380	1123	1322	1071
FGRRES_05070	350	322	233	150
FGRRES_05071	14	9	10	7
FGRRES_05072	2081	2298	1865	1677
FGRRES_16452	2248	2096	801	749
FGRRES_05074	619	444	497	426
FGRRES_05075	234	275	114	112
FGRRES_05076	101	84	77	75
FGRRES_15278	1	0	0	0
FGRRES_12679	0	1	0	0
FGRRES_05077	82	80	30	32
FGRRES_05078	25	23	30	28
FGRRES_12680	630	478	698	641
FGRRES_12681	425	371	278	202
FGRRES_05079	3486	3068	2438	1872
FGRRES_05080	3088	2862	2948	3041
FGRRES_05081	993	1042	203	205
FGRRES_05082	1457	1359	1013	872
FGRRES_20250	2	0	3	2
FGRRES_05083	183	189	149	142
FGRRES_05084	1286	1089	2360	1966
FGRRES_12682	62	36	36	31
FGRRES_05085	109	136	78	110
FGRRES_15279	0	0	0	0
FGRRES_05086	117	118	43	33
FGRRES_05087	2221	2340	4826	4361
FGRRES_12683_M	2078	2143	2591	2237
FGRRES_17646	1852	1729	1246	1014
FGRRES_05089	2395	2572	2116	2273
FGRRES_05090	776	832	429	368
FGRRES_05091	645	526	371	316
FGRRES_05092	748	656	672	488
FGRRES_05093	325	305	277	226
FGRRES_17647	1	5	3	1
FGRRES_05094	815	781	824	681
FGRRES_05095	767	742	725	714
FGRRES_17648	40	37	205	162
FGRRES_05097_M	1839	1722	1706	1697
FGRRES_05098	2432	2447	2682	2380
FGRRES_12684	16	6	17	29
FGRRES_05099	304	326	246	228
FGRRES_16454	943	869	509	465
FGRRES_16455	437	382	218	182
FGRRES_05101	305	309	127	129
FGRRES_05102	321	278	136	88
FGRRES_05103	9	7	11	1
FGRRES_05104	26	27	32	20
FGRRES_05105	572	518	282	185
FGRRES_05106	1505	1456	1286	1064
FGRRES_05107	299	265	496	352
FGRRES_05108	4607	4908	1172	1091
FGRRES_17649	286	229	123	108
FGRRES_16456	80	61	26	57
FGRRES_05111	61	94	44	32
FGRRES_16457	12	9	7	9
FGRRES_16458	379	347	158	127
FGRRES_05114	241	257	104	84
FGRRES_12687	168	252	130	154
FGRRES_05115	699	566	598	470
FGRRES_05116	247	184	199	166
FGRRES_05117	2734	2752	2792	2548
FGRRES_20248	77	44	109	83
FGRRES_20249	14	6	32	17
FGRRES_15280	10	13	42	38
FGRRES_05118	10	14	23	23
FGRRES_12688_M	8	6	12	12
FGRRES_05119	4296	4872	8228	9479
FGRRES_05120	1623	1599	966	896
FGRRES_05121	3558	3197	3850	3705
FGRRES_05122	61	57	36	17
FGRRES_05123	1691	1639	1776	1743
FGRRES_05124	551	567	152	125
FGRRES_05125	1746	1618	912	878
FGRRES_05126	70	44	73	45
FGRRES_05127	1558	1629	1009	1001
FGRRES_05128	557	617	577	529
FGRRES_05129	36	30	11	12
FGRRES_05130	249	284	162	138
FGRRES_05131	81	64	39	46
FGRRES_05132	891	793	513	458
FGRRES_05133	5694	5335	4781	4174
FGRRES_12689	2138	1913	1372	1144
FGRRES_05134	3594	3497	3833	3416
FGRRES_05135	1084	916	719	582
FGRRES_05136	338	232	129	124
FGRRES_05137	50	43	31	18
FGRRES_05138	542	556	281	240
FGRRES_17650	291	278	179	131
FGRRES_12690	623	503	544	383
FGRRES_05140	564	511	256	242
FGRRES_05141	1233	1058	584	615
FGRRES_05142	294	238	172	174
FGRRES_05143	5521	5910	3613	3339
FGRRES_05144	1731	1633	1375	1214
FGRRES_12691	657	567	702	571
FGRRES_05145	733	634	2330	2235
FGRRES_05146	777	712	578	566
FGRRES_05147	435	390	304	327
FGRRES_12692	3324	3004	3034	2664
FGRRES_12693	70	55	31	23
FGRRES_12694	41	38	15	11
FGRRES_05149	2588	2340	1718	1630
FGRRES_17651	894	759	459	351
FGRRES_05151	2813	2623	554	458
FGRRES_05152	1173	1052	780	736
FGRRES_05153	464	602	379	255
FGRRES_05154	2103	1928	2277	2240
FGRRES_05155	47	34	333	291
FGRRES_05156	3376	3435	2838	2611
FGRRES_05157	111	86	71	69
FGRRES_05158	3448	2787	1338	1124
FGRRES_05159	431	428	701	663
FGRRES_12695	21	20	16	15
FGRRES_05160	106	73	163	147
FGRRES_05161	276	264	128	105
FGRRES_05162	812	707	399	330
FGRRES_05163	3358	3423	5016	4520
FGRRES_15282	14	6	29	11
FGRRES_05164	1645	1337	10914	9891
FGRRES_05165	1733	1679	1102	950
FGRRES_05166	1161	1209	1854	1947
FGRRES_05167	1147	1178	884	777
FGRRES_16459	162	173	154	144
FGRRES_05169_M	3183	3286	2456	2374
FGRRES_15283_M	22	13	14	12
FGRRES_05170	552	557	267	221
FGRRES_05171	1866	1825	1465	1480
FGRRES_17652	115	100	142	104
FGRRES_05173	180	149	62	66
FGRRES_05174	1203	1094	675	556
FGRRES_20251	0	0	0	0
FGRRES_05175_M	23702	25407	32806	32870
FGRRES_05176	402	344	442	392
FGRRES_12696	46	35	20	29
FGRRES_05177	8893	8169	5089	4722
FGRRES_05178	56	31	8	11
FGRRES_20252	2	11	8	3
FGRRES_05179	2513	2584	3014	3273
FGRRES_17653	893	762	517	517
FGRRES_05181	869	879	830	675
FGRRES_17654	1722	1838	1277	1281
FGRRES_05183	1085	1194	669	623
FGRRES_05184	103	128	97	80
FGRRES_12698	23	12	10	12
FGRRES_05185	9	0	10	6
FGRRES_05186	2775	2690	6204	5753
FGRRES_15284	1	0	1	1
FGRRES_15286	5	1	4	5
FGRRES_12699	4	3	1	5
FGRRES_15290	38	30	68	76
FGRRES_05187_M	1124	966	556	439
FGRRES_05188	988	934	913	845
FGRRES_17655	2767	2369	2298	1814
FGRRES_05190	1547	1390	4966	4953
FGRRES_05191	1572	1582	1630	1591
FGRRES_05192	1307	1408	859	848
FGRRES_16460	3	0	0	4
FGRRES_05193	1675	1513	509	351
FGRRES_05194	701	576	480	474
FGRRES_05195	247	233	270	281
FGRRES_17656	35	34	37	45
FGRRES_05197	3235	3085	1686	1514
FGRRES_05198	2714	2960	1576	1422
FGRRES_05199	669	556	501	386
FGRRES_05200	420	360	382	262
FGRRES_05201	111	85	61	73
FGRRES_17657	381	409	158	188
FGRRES_05203	5492	5160	4030	3358
FGRRES_05204	189	197	102	81
FGRRES_05205	549	545	281	262
FGRRES_16461	1112	956	1375	1211
FGRRES_05207	531	430	313	270
FGRRES_05208	754	660	930	750
FGRRES_15287	0	0	0	0
FGRRES_16462	14019	14372	30573	31234
FGRRES_15288	55	50	82	58
FGRRES_12702	849	916	4074	3672
FGRRES_05210	115	114	136	92
FGRRES_05211	1082	986	753	606
FGRRES_15289	8	16	4	7
FGRRES_16463_M	30	48	83	89
FGRRES_12703	312	273	89	89
FGRRES_12704	63	57	47	31
FGRRES_05213	4097	4093	3905	3210
FGRRES_05214_M	346	295	321	240
FGRRES_05216	2695	2415	1795	1468
FGRRES_05217	396	423	153	155
FGRRES_05218	1232	1258	665	556
FGRRES_15022	104	62	100	109
FGRRES_05220	140	115	94	71
FGRRES_05221	643	697	253	263
FGRRES_05222	1367	1387	1009	855
FGRRES_05223	2335	2074	1894	1667
FGRRES_05224	1805	1789	1208	1107
FGRRES_05225	2701	2437	2922	2637
FGRRES_05226	1445	1498	1272	1288
FGRRES_05227	238	212	159	139
FGRRES_05228	8892	8295	5876	5029
FGRRES_05229	1529	1474	174	162
FGRRES_05230	491	420	107	97
FGRRES_05231	3079	2891	937	911
FGRRES_05232	5101	5218	3575	3887
FGRRES_20253	4	5	3	2
FGRRES_05233	635	549	369	300
FGRRES_16464	289	244	122	136
FGRRES_05235	1611	1464	1314	924
FGRRES_05236	4423	4387	2730	2809
FGRRES_05237	21	26	26	11
FGRRES_05238	1620	1517	1334	1297
FGRRES_05239	1251	1116	2399	2049
FGRRES_05240	96	85	46	42
FGRRES_05241	4403	4562	999	1022
FGRRES_17658_M	732	729	364	337
FGRRES_05243	459	436	200	185
FGRRES_05244	1607	1669	1072	820
FGRRES_05245	3510	3402	2389	1920
FGRRES_16465	2284	2137	504	439
FGRRES_05247	334	359	315	222
FGRRES_05248	97	98	67	53
FGRRES_05249	2558	2591	1367	1222
FGRRES_05250	1119	1146	597	565
FGRRES_05251	2987	3786	3116	2910
FGRRES_05252	716	605	329	283
FGRRES_05253	558	497	238	221
FGRRES_05254	392	382	316	302
FGRRES_05255	811	708	401	382
FGRRES_05256	171	177	77	69
FGRRES_17659	1574	1416	911	652
FGRRES_05258	35	61	101	92
FGRRES_05259	10298	10320	6999	6415
FGRRES_05260	264	223	210	150
FGRRES_05261	4586	4228	5327	5055
FGRRES_17660	3687	3199	2731	2530
FGRRES_05263	681	615	692	686
FGRRES_05264	1618	1615	942	818
FGRRES_17661	1723	1636	2337	2233
FGRRES_05266	1909	2343	1561	1378
FGRRES_05267	1342	1264	908	831
FGRRES_05268	1787	1751	2337	2199
FGRRES_05269	409	327	183	140
FGRRES_16466	1163	952	576	426
FGRRES_05271	90	63	38	26
FGRRES_05272	152	152	75	57
FGRRES_05273	1034	988	666	586
FGRRES_05274	133	124	91	59
FGRRES_05275	997	1004	635	568
FGRRES_05276	1709	1805	808	787
FGRRES_05277	277	242	240	243
FGRRES_16467	2061	2096	424	407
FGRRES_05279	2181	2074	2385	2287
FGRRES_05280	649	598	402	327
FGRRES_05281	570	445	301	204
FGRRES_05282	10134	9959	9976	11408
FGRRES_05283	1749	1656	877	774
FGRRES_05284	122	156	104	113
FGRRES_05285	9128	9027	16997	15302
FGRRES_05286	2064	1961	1434	1134
FGRRES_05287	71	43	49	50
FGRRES_05288	528	410	257	208
FGRRES_12707	8	10	10	15
FGRRES_05289	3	1	3	3
FGRRES_05290	2418	2189	1547	1219
FGRRES_05291	3695	3423	3268	3261
FGRRES_05292	2529	2828	2847	2889
FGRRES_05293	572	600	490	450
FGRRES_20254	0	4	15	15
FGRRES_05294	1130	1155	12615	13600
FGRRES_05295	349	379	129	104
FGRRES_05296	1934	1643	3107	2798
FGRRES_05297	2613	2373	2068	1941
FGRRES_05298	423	405	263	226
FGRRES_20255	141	110	123	77
FGRRES_05299	390	399	271	220
FGRRES_05300	1085	1152	747	580
FGRRES_05301	2035	1806	1205	1102
FGRRES_05302	56	67	61	54
FGRRES_05303	413	413	236	215
FGRRES_05304	1073	927	713	631
FGRRES_05305	377	424	209	169
FGRRES_05306	2149	1739	1265	1045
FGRRES_05307	765	681	914	886
FGRRES_05308	575	559	308	250
FGRRES_12708_M	17	17	15	13
FGRRES_12709	399	314	124	116
FGRRES_05309	1917	1800	1175	1052
FGRRES_05310	1038	1131	1204	1290
FGRRES_16469	777	733	1013	894
FGRRES_05312	1344	1119	1034	1017
FGRRES_15023	524	483	416	339
FGRRES_05314	1245	1271	840	755
FGRRES_05315	3411	3332	2692	2298
FGRRES_05316	996	1024	951	886
FGRRES_12711	705	650	387	332
FGRRES_12712	1181	1157	1480	1399
FGRRES_05318	437	433	145	152
FGRRES_05319	134	138	54	44
FGRRES_05320	295	290	169	144
FGRRES_05321	4564	4611	2435	2242
FGRRES_20256	7	10	6	1
FGRRES_15291	12	15	16	11
FGRRES_05322	3517	3436	1900	1775
FGRRES_20257	601	572	1021	913
FGRRES_05323	7688	6652	11303	10115
FGRRES_05324	186	197	377	366
FGRRES_05325	2101	2032	2946	2902
FGRRES_17662	309	246	316	250
FGRRES_15292	3	2	1	0
FGRRES_16471_M	260	235	97	87
FGRRES_05326	1039	947	896	689
FGRRES_05327	919	883	398	309
FGRRES_05328	449	414	296	286
FGRRES_05329	1265	1191	675	681
FGRRES_05330	153	133	48	40
FGRRES_05331	653	583	804	768
FGRRES_16472	23	25	5	9
FGRRES_05333	7	18	16	5
FGRRES_05334	65	63	74	61
FGRRES_05335	24	24	3	8
FGRRES_05336	2109	1905	6158	5270
FGRRES_05337	2705	2457	1908	1401
FGRRES_05338	42	28	199	156
FGRRES_05339	1794	1660	1418	1334
FGRRES_12716	3	4	17	8
FGRRES_20258	0	0	0	0
FGRRES_12717	0	0	0	0
FGRRES_05340	541	530	759	736
